[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=5.30138e-32 | c_delayed=1.52954e-25 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=-4.58564 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0.00624918 | c_delayed=2.86847 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=5.04283e-32 | c_delayed=1.45495e-25 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=-4.68845 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0.00594441 | c_delayed=0.77387 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2202 | tau_c_delay_=200 | t_past=2002 | c_current=0 | c_delayed=0 | n=0.0829697
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2202 | tau_c_delay_=200 | t_past=2002 | c_current=0 | c_delayed=0 | n=0.0829697
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2202 | tau_c_delay_=200 | t_past=2002 | c_current=4.82505e-32 | c_delayed=1.38399e-25 | n=0.0829697
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2202 | tau_c_delay_=200 | t_past=2002 | c_current=0 | c_delayed=0 | n=0.0829697
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2202 | tau_c_delay_=200 | t_past=2002 | c_current=10.8323 | c_delayed=0 | n=0.0829697
