[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=0 | c_delayed=0 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=0 | c_delayed=0 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=2.56225e-36 | c_delayed=7.68318e-30 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=0 | c_delayed=0 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=0.00837207 | c_delayed=-5.81172 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=6.74688e-07 | c_delayed=0.462695 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=0 | c_delayed=0 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=10.5827 | c_delayed=0 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2400 | tau_c_delay_=200 | t_past=2200 | c_current=0 | c_delayed=0 | n=0.162765
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=0 | c_delayed=0 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=0 | c_delayed=0 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=2.43729e-36 | c_delayed=7.30847e-30 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=0 | c_delayed=0 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=0.00796376 | c_delayed=-5.92025 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=6.41783e-07 | c_delayed=0.440129 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=0 | c_delayed=0 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=8.91564 | c_delayed=0 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2401 | tau_c_delay_=200 | t_past=2201 | c_current=0 | c_delayed=0 | n=0.147276
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2402 | tau_c_delay_=200 | t_past=2202 | c_current=0 | c_delayed=0 | n=0.426442
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2402 | tau_c_delay_=200 | t_past=2202 | c_current=0 | c_delayed=0 | n=0.426442
