[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=4.66269e-32 | c_delayed=9.65326e-28 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=-4.23698 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0.00673993 | c_delayed=-5.30716 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2200 | tau_c_delay_=200 | t_past=2000 | c_current=0 | c_delayed=0 | n=0.101339
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=4.43528e-32 | c_delayed=9.18247e-28 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=0 | c_delayed=0 | n=0.0916957
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2201 | tau_c_delay_=200 | t_past=2001 | c_current=-4.41837 | c_delayed=0 | n=0.0916957
